1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,HS6,HS6 ID
0.464284238,0.557043314,0.567750245,0.251887919,0.30720771,0.634465336,0.659427494,0.602432666,0.496270261,0.62886927,0.640062195,0.575961252,0.22289976,0.197735422,0.178774536,-0.072833418,-0.030599276,-0.276876175,-0.421448213,-0.560424288,0.148626848,0.450778326,-0.275067156,-0.54225251,-0.061746222,-0.071441281,0.12870817,"Horses, live pure-bred breeding",10111
-0.138552729,-0.05550511,-0.009226527,0.092523238,0.063238199,0.033125447,-0.047046366,-0.006162873,-0.023213236,-0.05112835,0.098056501,0.104345275,0.099767327,0.138238918,-0.026489569,-0.040812553,0.028526944,0.240174105,0.265716637,0.333278602,0.293733146,0.322976164,0.088503125,-0.044179858,0.014576514,-0.081027334,-0.181369526,"Horses, live except pure-bred breeding",10119
,,,,,,,,,,,-0.254444463,-0.618325082,-0.319299583,-0.414293524,-0.368637054,-0.343258776,-0.202552441,-0.281029057,-0.312655346,-0.357844226,-0.620960606,-0.681610242,-0.734070557,-0.775660618,-0.699693616,-1.016643941,"Bovine animals, live pure-bred breeding",10210
0.095642427,0.03591543,0.103403312,0.208672457,0.088827991,-0.202118099,-0.578779164,-0.38163447,-0.876110574,-0.615453185,-0.117971554,-0.342421205,-0.430488514,-0.540604883,-0.508732993,-0.457354236,-0.72680385,-0.918776631,-0.877790571,-0.951245093,-0.838787243,-0.925028968,-0.962762484,-0.87981516,-0.941369067,-0.990240023,-1.219072622,"Bovine animals, live, except pure-bred breeding",10290
,,,,,,,,,,0.819004759,0.504275737,0.600068524,0.659141664,0.741839459,0.600979653,0.834415204,0.832965306,0.624989692,0.673618753,0.629977581,0.684749075,0.661450079,0.68059874,0.695007285,0.544003017,0.547687432,"Swine, live except pure-bred breeding < 50 kg",10391
-0.17587209,-0.16434292,-0.222955769,-0.062977521,0.105689424,0.209050162,0.179389204,0.058320723,0.095953968,0.231311227,0.375905578,0.40575529,0.54947227,0.592701114,0.402494605,0.377075769,0.337551643,0.445772476,0.546480533,0.570522991,0.565654897,0.33061178,0.341628923,0.309996823,0.425617592,0.240344326,0.279432265,"Swine, live except pure-bred breeding > 50 kg",10392
-0.618528163,-0.580367742,-0.422001357,-0.421045525,-0.628301906,-0.850683569,-0.936912493,-1.621918943,-1.374181005,-1.756852164,-1.734836765,-1.610368176,-1.561238871,-1.619317786,-1.340040949,-1.298481035,-1.637356794,-1.357565436,-1.377641202,-1.335068952,-1.445902013,-1.535513684,-1.663756353,-1.438335713,-1.566045979,-1.658400055,-1.622894669,"Sheep, live",10410
,,,,,,,,,-0.460123482,-0.576220442,-0.660902671,-0.453997381,-0.451138862,-0.45985545,-0.316014149,-0.536183248,-0.498483379,-0.580786005,-0.370192657,-0.281831371,-0.342143301,-0.347138911,-0.355802984,-0.318106874,-0.538072234,-0.596885014,"Fowls, live domestic < 185 grams",10511
,,,,,,,,,,,,0.547345501,0.291903962,0.562658386,0.562521323,0.629727865,0.417224722,0.404497247,0.460130985,0.732143292,0.709951205,0.343946325,0.146208344,0.143250758,0.103975751,0.089505301,"Fowls, live domestic > 185 grams",10591
,,,,,,,,,-1.564639267,-1.623575486,-1.570175292,-1.753730815,-1.578852624,-1.625526277,-1.468918996,-1.560467577,-1.682103923,-1.714912261,-1.615826218,-1.57152201,-1.451089513,-1.450161249,-1.476457849,-1.506756577,-1.607430534,-1.433723834,"Animals, live, except farm animals",10600
